# qstring	phrase	weight	tags
91Kb;::i	阿舍乾麵	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Dk3:DkDb	上班上課	-1.337249	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5iq=	燦星	-2.803999	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[15_|_5E	嘉義大學	-1.162838	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5_|_0_ec	義大世界	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9P{JRPRP	女神卡卡	-2.763727	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
=_kM~K4>	立榮航空	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
g:f<IX	官將首	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
TJ18	原燒	-2.201728	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
T0{?uH?E	西堤牛排	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
BbN:0_4L	樂天市場	-1.908001	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:B_1K	台灣企銀	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
S<]Ko=	張芸京	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
3@xUF0ci	奇美醫院	-1.987133	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9><@7i	鍾無艷	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
m@xUBb	達美樂	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>NjwK\0	中信房屋	-1.610002	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJIM|?	陳庭妮	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
aJ4Kc=cY	全民英檢	-2.173898	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
6h@@{;	六福村	-3.130669	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4LkM|_5E	長榮大學	-1.356112	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
>@Nj=f	朴信惠	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEvUO_E<	台北富邦	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:wK\0	台灣房屋	-0.804785	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
_;K@halj	新竹貨運	-1.275627	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
bZ}IN_c[	品田牧場	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
LdoT	愛買	-2.219044	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEvU|_5E	台北大學	-1.121628	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJrG;;	陳喬恩	-3.331096	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
g5_;0WVe	開心寶貝	-1.582909	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
N<0_xU	康是美	-2.571163	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
WB4K@@0_	國民服飾	-1.398768	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>NXmTha	中友百貨	-1.715599	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
2:_;^P	安心亞	-2.016976	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
RW0J}^	巧連智	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5_j60\	易飛網	-2.184104	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CiG@C:	劍湖山	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
:1[1f<	八家將	-2.363382	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
SWdMVY	小紅傘	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
2_nH?0L9	自由之丘	-1.922870	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
~=P;:PnH	東森旅遊	-1.515333	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4C0_3>c[	格式工廠	-0.892151	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
L`N_|?	夏慕尼	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
s25_	多益	-1.239612	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
D8^l3M	蕭敬騰	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
U:Yc9Rw2	千葉火鍋	-2.658545	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zfBWKZM_	跳蚤本舖	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
_;]ONb7i	心理測驗	-1.062125	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
MiH<F0ci	萬芳醫院	-1.888372	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
g5hI|_5E	開南大學	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJdM	宸鴻	-2.065027	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
lglgV:^=	豆豆先生	-1.415757	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEU3|_	台科大	-2.256062	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
3MTJ3gRl	藤原效應	-2.073709	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
KlM9	正修	-2.149079	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
@l[L:PnH	鳳凰旅遊	-1.113924	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
]OdMR0	李弘基	-2.310318	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
a_8T<jK_	浴血任務	-2.189411	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
:_F0{JaJ	第一神拳	-1.961760	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
aJPA	全華	-1.785909	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
j6OD<iCE	飛碟電台	-1.564453	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
m_Uk<i6W	巨匠電腦	-1.733449	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
082@TJw\	超級圓頂	-1.703095	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE9>kML]	台中榮總	-1.123514	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
O_E<|Jxg	富邦人壽	-3.721391	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>5E^=0\	中學生網	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
}^y<	志光	-1.371463	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_kMhalj	大榮貨運	-2.612443	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{h{Jm_uh	漢神巨蛋	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[1tf	嘉藥	-1.421102	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{J6WWBA_	神腦國際	-2.998896	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
~IQdxgvf	年代售票	-1.294068	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
EmIX[3zj	二手車訊	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
>E_;=f	白歆惠	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
rFQ=9\c[	微風廣場	-1.672892	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
y==_NX	翁立友	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
q=m_\Y	星聚點	-1.844743	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
tOA13E	古拉爵	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
FM[1okpa	名家創作	-1.381700	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CEhIU3|_	台南科大	-1.792861	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
J;]O|_5E	真理大學	-1.430573	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
ZXIPt7	九把刀	-3.303397	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9RME|J	火柴人	-1.780504	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
>Jlj1U	玩運彩	-3.782374	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>Z<B_Wk	中央氣象	-1.022615	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5_|_F0ci	義大醫院	-2.123385	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
IM3:IMDb	停班停課	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
8GyK	隋棠	-1.349000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
ROObC]L_	紫色恐怖	-1.828361	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
=_c=wK	麗嬰房	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
VBKPS;Q;	羅馬拼音	-1.917852	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`llj9P{J	幸運女神	-1.714261	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_4ZmT	大遠百	-3.064245	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
kO@@:PnH	五福旅遊	-1.125810	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
xUBb[1	美樂家	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
lj1U	運彩	-2.516397	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`@[1CM	徐佳瑩	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C:O_:PnH	山富旅遊	-1.894692	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
h:dMxgvf	寬宏售票	-2.367296	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9>2@5_3:	終極一班	-1.595257	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
rFLbC:L9	微熱山丘	-3.661078	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
h=h=tf^@	丁丁藥局	-1.988059	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
6:5_NJ{J	翻譯傳神	-1.861841	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`l@@4>T:	幸福空間	-1.055563	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C:L`}^ZX	山下智久	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_oT[1	大買家	-2.647069	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
gc];7i	謝金燕	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[Zrh?0WY	審判之眼	-2.096155	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Wk^=tPKb	相聲瓦舍	-3.124274	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
TJO_Klpi	元富證券	-2.307853	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4L8:4W	長灘島	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{hljo0[3	和運租車	-2.900192	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
48XOx@	糙米茶	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
G:4Km0^@	三民書局	-1.370011	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
RP0>3Kcf	卡通頻道	-1.299829	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
t1cH	抓猴	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
uHe]	牛爾	-1.272638	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w[p?N:yK	饗食天堂	-2.383366	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w2^l	郭靜	-1.349000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w\PL	鼎王	-2.337798	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4Z~=U<1K	遠東商銀	-1.648878	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
UGTJDblj	桃園客運	-1.334983	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
vTR0Klpi	凱基證券	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
]OcZ8W	李敏鎬	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C1j6ol	咖啡弄	-1.985379	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
FM_;	明新	-1.544676	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
`l;f	興櫃	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
w2TJ5_	郭元益	-1.728234	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
mT0_m@	百視達	-2.240458	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
<@DbjK	吳克群	-0.499000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
4CDko0[3	格上租車	-2.745351	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
^PRdIXR0	亞太手機	-2.200776	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
\_|JF0m:	樹人醫專	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C_03CE^:	戲說台灣	-1.333544	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE9>Dblj	台中客運	-1.179160	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
